Treatment,Temperature,CO2,Tray,Number,Full_ID,Genotype,Population,Elevation,Cohort,Licor_E,Licor_A,Licor_Ca,Licor_Ci,Licor_gsw,Licor_LeafArea,Licor_dryLeafMass
T4,Low,High,2,167,T4_2_167,48_2,48,2951,2,0.00152249,3.830597404,649.5254333,582.7825982,0.115628812,0.411757096,0.0042
T4,Low,High,2,176,T4_2_176,91_2,91,2910,2,0.000615921,5.344013043,649.1084333,455.2644244,0.047138745,0.605520924,0.0053
T4,Low,High,2,183,T4_2_183,189_1,189,3273,2,0.002785809,6.362715437,648.8194516,585.9034232,0.209826242,0.560359544,0.0041
T4,Low,High,2,186,T4_2_186,255_28,255,3341.67,1,0.000848435,5.234902987,648.2424333,505.8534157,0.0647539,1.22530711,0.0147
T4,Low,High,3,197,T4_3_197,56_3,56,3132,2,0.001705421,14.40211409,643.2205667,452.0509389,0.130183057,1.743300978,0.0195
T4,Low,High,3,201,T4_3_201,48_2,48,2951,2,0.001854878,4.323291517,648.6863,584.8342255,0.138890693,0.902654135,0.0087
T4,Low,High,3,204,T4_3_204,50_1,50,2934,2,0.001359106,1.344984787,649.4841935,613.3227697,0.098432238,0.933048461,0.0122
T4,Low,High,3,240,T4_3_240,56_3,56,3132,2,0.000696412,5.901521259,646.7876,450.1180688,0.051415799,2.014484316,0.0218
T4,Low,High,3,245,T4_3_245,157_3,157,3004,2,0.000709987,2.020837605,649.5119333,576.2403706,0.053916543,0.757205815,0.0057
T4,Low,High,3,247,T4_3_247,253_9,253,3460,1,0.002582857,8.589982981,648.2355484,567.3970197,0.205196412,0.689822168,0.0074
T4,Low,High,3,251,T4_3_251,189_1,189,3273,2,0.000497741,3.730333793,649.7602667,503.2271008,0.044056286,0.229534509,5e-04
T4,Low,High,3,256,T4_3_256,210_3,210,3161.3,2,0.000619864,4.710031385,649.0252,463.7622118,0.043846242,0.790467531,0.0056
T4,Low,High,3,265,T4_3_265,269_15,269,2800,1,0.001807955,10.65962553,646.975129,508.8565533,0.137437519,1.010969764,0.0126
T4,Low,High,3,267,T4_3_267,304_19A,304,3673,1,0.001364444,7.077736619,647.9356333,523.1143121,0.101989278,1.043084523,0.0135
T4,Low,High,4,295,T4_4_295,157_3,157,3004,2,0.000928586,3.958768926,649.4311613,542.2200327,0.067790222,0.473907758,0.0034
T4,Low,High,4,308,T4_4_308,102_5,102,3072,1,0.001096155,6.575927258,648.5936,539.3823586,0.107002558,0.792474703,0.0075
T4,Low,High,4,309,T4_4_309,50_1,50,2934,2,0.001744552,7.262729656,648.7646333,541.6551642,0.125563778,0.586739525,0.004
T4,Low,High,4,321,T4_4_321,49_2,49,2935,2,0.000690493,5.772045383,648.8848387,487.6320445,0.061538232,0.731184258,0.006
T4,Low,High,4,333,T4_4_333,207_14B,207,3218.6,2,0.00138188,10.51507005,646.0906,467.0668271,0.101928686,1.375988415,0.0181
